Rank,Country,# of Civilian Casualties,# of Articles,Conflict Media Coverage Index
1,Burkina Faso,20659,13127,0
2,Ethiopia,22529,16103,0
3,Mali,19818,19525,2
4,Cameroon,3362,6496,6
5,Haiti,5546,14924,8
6,Myanmar (Burma),11514,47481,11
7,Congo - Kinshasa,3268,13448,11
8,Central African Republic,498,3187,15
9,Madagascar,124,1049,17
10,Niger,1750,15398,18
11,Papua New Guinea,153,1340,18
12,Guatemala,705,6332,19
13,Burundi,111,1309,20
14,Benin,135,1921,22
15,Mozambique,289,4544,23
16,South Sudan,565,9838,24
17,Syria,8208,145393,24
18,Brazil,3917,75830,25
19,Honduras,538,1079,28
20,Togo,49,903,29
21,Mexico,5661,162528,29
22,Nigeria,2957,91637,30
23,Palestinian Territories,21158,724031,31
24,Colombia,1507,53582,31
25,Sudan,2974,11643,32
26,Somalia,685,26489,32
27,Jamaica,306,14065,33
28,Angola,47,2400,34
29,Kenya,558,26939,34
30,Malawi,51,3030,36
31,Uganda,290,16764,36
32,Yemen,699,45651,37
33,Ukraine,19494,1473931,38
34,Ghana,124,11838,41
35,Philippines,435,47618,42
36,Chad,94,13210,44
37,Belize,28,3675,44
38,South Africa,288,40685,44
39,Venezuela,183,30837,46
40,Pakistan,776,147012,47
41,Afghanistan,425,84631,48
42,Iraq,381,85092,49
43,Bangladesh,213,51014,50
44,India,681,166199,50
45,Saudi Arabia,185,45832,50
46,Zimbabwe,40,12217,52
47,Ecuador,61,24162,55
48,Indonesia,108,74343,60
49,Peru,38,22835,61
50,Iran,96,158071,69
51,Israel,698,1160583,69
52,Lebanon,49,16225,72
53,Azerbaijan,25,9348,77
54,Russia,112,1598077,92
55,United States,61,2302736,100
